,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10
PARADISE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BOOK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
man's,1.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0
Disobedience,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fruit,1.0,0.0,0.0,2.0,2.0,1.0,5.0,23.0,5.0,5.0
Tree,1.0,0.0,1.0,9.0,2.0,0.0,6.0,21.0,4.0,5.0
taste,1.0,1.0,0.0,3.0,2.0,0.0,0.0,5.0,1.0,3.0
Death,1.0,7.0,5.0,4.0,0.0,0.0,2.0,19.0,31.0,18.0
World,3.0,3.0,9.0,6.0,4.0,1.0,15.0,3.0,17.0,17.0
woe,2.0,5.0,1.0,3.0,1.0,2.0,2.0,8.0,5.0,2.0
loss,5.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0
Eden,1.0,0.0,0.0,9.0,0.0,1.0,3.0,5.0,1.0,5.0
Man,3.0,3.0,20.0,6.0,2.0,0.0,16.0,16.0,23.0,30.0
Seat,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
Muse,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
top,5.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0
Oreb,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sinai,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Shepherd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Seed,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,13.0
Beginning,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavens,4.0,16.0,4.0,4.0,7.0,5.0,11.0,2.0,3.0,5.0
Earth,5.0,4.0,18.0,15.0,17.0,7.0,63.0,12.0,21.0,29.0
Rose,2.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0
Chaos,2.0,6.0,3.0,0.0,1.0,1.0,4.0,0.0,7.0,0.0
Zion,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hill,6.0,2.0,2.0,5.0,6.0,4.0,5.0,1.0,0.0,8.0
Siloa's,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brook,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oracle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
God,9.0,9.0,16.0,21.0,23.0,22.0,34.0,29.0,20.0,55.0
aid,2.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0,3.0,3.0
Song,1.0,1.0,2.0,0.0,3.0,1.0,4.0,2.0,1.0,0.0
flight,3.0,4.0,4.0,5.0,3.0,8.0,3.0,0.0,1.0,2.0
Mount,2.0,0.0,1.0,1.0,6.0,3.0,1.0,0.0,0.0,6.0
Things,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
Pros●…,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rhyme,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spirit,3.0,2.0,4.0,6.0,2.0,2.0,4.0,1.0,1.0,12.0
Temples,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
●…eart,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wings,2.0,7.0,5.0,3.0,3.0,2.0,7.0,2.0,0.0,2.0
Dove,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Abyss,1.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0
height,4.0,4.0,1.0,3.0,0.0,3.0,4.0,4.0,1.0,1.0
Argument,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
Providence,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ways,1.0,1.0,3.0,2.0,1.0,0.0,5.0,1.0,4.0,4.0
men,4.0,4.0,7.0,7.0,3.0,2.0,6.0,1.0,0.0,14.0
heaven,30.0,43.0,29.0,24.0,34.0,45.0,48.0,14.0,14.0,38.0
view,2.0,3.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0
Tract,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hell,14.0,25.0,9.0,19.0,3.0,9.0,1.0,3.0,20.0,1.0
cause,1.0,0.0,0.0,2.0,1.0,1.0,6.0,5.0,2.0,3.0
Parents,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
State,2.0,4.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0
Creator,2.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,3.0,0.0
Will,2.0,2.0,1.0,1.0,2.0,0.0,1.0,4.0,3.0,1.0
restraint,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Lords,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0
fowl,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0
revolt,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Envy,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenge,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Mother,1.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,1.0,5.0
mankind,1.0,1.0,5.0,2.0,2.0,0.0,5.0,2.0,2.0,3.0
time,2.0,7.0,1.0,3.0,5.0,1.0,2.0,1.0,3.0,10.0
Pride,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Host,5.0,3.0,0.0,1.0,5.0,10.0,1.0,0.0,2.0,3.0
Rebel,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Angels,4.0,3.0,6.0,1.0,6.0,10.0,1.0,5.0,4.0,3.0
Glory,6.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0
Peers,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
aim,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Throne,2.0,8.0,5.0,3.0,6.0,8.0,3.0,0.0,3.0,5.0
Monarchy,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
War,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
battle,6.0,4.0,0.0,2.0,1.0,10.0,0.0,0.0,2.0,3.0
attempt,2.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0
Power,2.0,1.0,1.0,4.0,6.0,7.0,3.0,2.0,4.0,2.0
●…om,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sky,2.0,1.0,3.0,4.0,2.0,2.0,3.0,0.0,1.0,3.0
ruin,2.0,5.0,0.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0
combustion,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
power,8.0,6.0,1.0,3.0,5.0,5.0,2.0,4.0,7.0,7.0
crime,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
Palestine,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eëëlzebub,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arch-Enemy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Satan,4.0,11.0,5.0,11.0,4.0,11.0,0.0,2.0,14.0,4.0
words,4.0,4.0,1.0,1.0,6.0,2.0,5.0,9.0,4.0,7.0
silence,3.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0
tho●…,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Re●…lms,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Light,1.0,4.0,3.0,0.0,2.0,2.0,15.0,4.0,0.0,2.0
brightness,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
league,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thoughts,4.0,8.0,2.0,5.0,7.0,4.0,6.0,10.0,3.0,3.0
counsels,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hope,3.0,9.0,1.0,3.0,0.0,2.0,2.0,3.0,4.0,5.0
misery,2.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,6.0,1.0
Pit,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Thunder,4.0,3.0,1.0,1.0,1.0,4.0,0.0,1.0,2.0,2.0
force,12.0,5.0,1.0,0.0,1.0,7.0,0.0,3.0,1.0,1.0
Arms,5.0,7.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,3.0
Victor,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0
rage,3.0,5.0,2.0,3.0,1.0,4.0,1.0,1.0,0.0,2.0
lustre,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
mind,5.0,2.0,2.0,2.0,4.0,0.0,3.0,4.0,4.0,3.0
sense,1.0,0.0,0.0,2.0,4.0,1.0,5.0,8.0,2.0,2.0
merit,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
contention,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spirits,7.0,7.0,6.0,6.0,7.0,6.0,5.0,1.0,1.0,2.0
reign,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Plains,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
throne,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
field,2.0,0.0,2.0,5.0,2.0,2.0,4.0,2.0,0.0,1.0
revenge,2.0,6.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0
hate,2.0,3.0,2.0,2.0,1.0,0.0,0.0,4.0,1.0,2.0
courage,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
wrath,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grace,2.0,1.0,9.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0
knee,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
terror,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,3.0
Arm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Empire,1.0,4.0,0.0,3.0,1.0,1.0,3.0,0.0,2.0,4.0
ignominy,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
●…hame,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downfall,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fate,2.0,6.0,3.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0
